Result,Word,Lemma,Analysis,Context
C,ئۆزتاک,ئۆزتاک,«ئۆزتاک»[PROPN]{NE=Person},ڕەمەزان ئۆزتاک مەلای گوندی تەکەلی لەو بارەیەوە دەڵێت
C,ئیرهاب,ئیرهاب,«ئیرهاب»[NOUN],ئەوەتا بەناوی: ماددەی چواری ئیرهاب و موخبیری سیڕڕی، خەڵکی بێ گوناهـ ئەگرن.
C,بابەشیخ,بابەشیخ,«بابەشیخ»[PROPN]{NE=Person},پەیامی پیرۆزبایی کاک بابەشیخ حسینی سکرتێری گشتی سازمانی خەبات بەبۆنەی جەژنی قوربانی پێرۆز
C,بنکەفراوان,بنکەفراوان,«بنکەفراوان»[ADJ],حکومەتی بنکەفراوان ناتوانێ وەڵامدەرەوەی خواست و ئومێدەکانی خەڵک بێت
C,تەشهیر,تەشهیر,«تەشهیر»[NOUN],تکایە خۆ بەدوور بگرن لە تەشهیر و ناوزڕاندن و وشەی ناشرین.
C,جینایەتکارانەی,جینایەتکارانە,«جینایەتکارانەی»[ADJ]«ی»{Clitic=Izafe},ئاشکرابوونی ڕۆڵی جینایەتکارانەی ئێران لە سووریا
C,دادگەری,دادگەری,«دادگەری»[NOUN],تەنیا گەلێکیش کە لە بەدرێژایی مێژوو زاخاو دراوەو بارستایی دادگەری و تەوحیدیی لە جیهاندا هەیە گەلی ئێرانە.
C,دۆستۆیۆڤسکی,دۆستۆیۆڤسکی,«دۆستۆیۆڤسکی»[PROPN]{NE=Person},لە پەیوەندی لەگەڵ ئەو بەرهەمەدا دۆستۆیۆڤسکی دەچێتە سەردانی چیڕنیشیۆسکی.
C,ڕەهێل,ڕەهێل,«ڕەهێل»[PROPN]{NE=Person},نامۆبوون وەک هۆکارێک بۆ لەناوبردن. ڕەهێل عەزیز
C,ژووچکا,ژووچکا,«ژووچکا»[PROPN]{NE=Person},هاوڕێی خۆشەویست دیوتە ئێستا ژووچکا چەندە سەگی چاکە!
C,ژێردەریایی,ژێردەریایی,«ژێردەریایی»[ADJ],وا دیارە ئەقیانۆسی هیندی زۆر قووڵە بۆ ڕۆبۆتی ژێردەریایی
C,سپراکە,سپرا,«سپرا»[NOUN]«ەکە»{Definite=Def},ناوبژیوانێک نەیزانی سپراکە بە کار بهێنێت
C,سەحوە,سەحوە,«سەحوە»[PROPN]{NE=Organ},لە ئەنجامی دوو هێرشی خۆکوژی بۆ سەر ماڵی فەرماندەی هێزەکانی سەحوە لە باکووری بەغدا 23 کەس کوژران
C,سەرخۆبوونی,سەرخۆبوون,«سەرخۆ»[NOUN]{Masdar}{Compound}«بوو»«ن»«ی»{Person=3}{Number=Sing},بارزانی باسی سەرخۆبوونی کرد
C,سوعاد,سوعاد,«سوعاد»[PROPN]{NE=Person},چما هیوا سوعاد بە 85 ملیۆن دینار ئەم کارەی کرد؟
C,شانۆیییە,شانۆیییە,«شانۆیییە»[ADJ]«ە»{Clitic=DiscontinuousDem},ئەو گروپە شانۆیییە لە 2014دا سێ کاری شانۆیییان نمایش کرد،
C,شەهیری,شەهیری,«شەهیری»[PROPN]{NE=Person},دکتۆر جەلال شەهیری لە مانگی پیرۆزی ڕەمەزان
C,شێناوێی,شێناوێ,«شێناوێ»[PROPN]{NE=Location}«ی»{Clitic=Izafe},چالاکانی کوردی دەرەوەی وڵات لە بەیاننامەیەکدا پشتیوانیان لە قوتابییانی شێناوێی پیرانشار کرد
C,فانارین,فانارین,«فانارین»[PROPN]{NE=Person},ئەگەر جەنابی فانارین بکەن بە کەفیلی کارەکە، خۆی واژۆی دەکات و دەیخاتە بواری جێبەجێکردنەوە.
C,فریزکردنی,فریزکردن,«فریز»«کرد»[NOUN]«ن»{Masdar}{Compound}«ی»{Clitic=Izafe},فریزکردنی مۆز
C,قلابانی,قلابان,«قلابان»[PROPN]{NE=Location}«ی»{Clitic=Izafe},لە نزیک گوندی ئاروشی سەر بە ناوچەی قلابانی شڕناخ لە کاتی تێپەڕبوونی ئۆتۆمبێلێکی سەربازیدا، تەقینەوەیەک ڕوویدا.
C,کارڤالیۆ,کارڤالیۆ,«کارڤالیۆ»[PROPN]{NE=Person},چاوەڕێ دەکرێت مۆرینیۆ یاری بە کارڤالیۆ یان ڤارانی بکات
C,کلۆزە,کلۆزە,«کلۆزە»[PROPN]{NE=Person},وەرزی یاریزان کلۆزە کۆتایی هات
C,کۆیلەکچانی,کۆیلەکچانی,«کۆیلەکچانی»[NOUN]«ی»{Clitic=Izafe},کۆیلەکچانی خێڵ
C,مەدلوول,مەدلوول,«مەدلوول»[NOUN],جێگۆڕکێی دال و مەدلوول
C,مەشەدی,مەشەدی,«مەشەدی»[NOUN]{Title},مەشەدی ڕوقیا گوتی: «دیوتە؟»
C,مولێریش,مولێریش,«مولێریش»[PROPN]{NE=Person},هاوکات بەڕێز مولێریش کتێبێکی سەبارەت بە ژیانی سیاسی خۆی پێشکەشی هەیئەتی حیزب کرد.
C,مونڤێر,مونڤێر,«مونڤێر»[PROPN]{NE=Person},پیشانگایەک بۆ ئەسما مونڤێر کچە شێوەکاری کورد کرایەوە.
C,مۆرینۆ,مۆرینۆ,«مۆرینۆ»[PROPN]{NE=Person},هاندەرانی ڕیاڵ مەدرید لە بەیاننامەیەکدا داوا دەکەن مۆرینۆ یانەکەیان جێ نەهێڵێت
C,مۆڤیۆلا,مۆڤیۆلا,«مۆڤیۆلا»[PROPN]{NE=Organ},"لە لایەن کۆمپانیای ژاپۆنی "" مۆڤیۆلا "" Moviola لە سینەماکانی وڵاتی ژاپۆن نمایش دەکرێت"
C,مۆنۆدرامای,مۆنۆدراما,«مۆنۆدراما»[NOUN]«ی»{Clitic=Izafe},مۆنۆدرامای شەوی لەدایکبوونم
C,میخاییلۆڤنا,میخاییلۆڤنا,«میخاییلۆڤنا»[PROPN]{NE=Person},پراسکۆڤیا میخاییلۆڤنا، من ئیشم بە تۆیە
C,نێوچاوانی,نێوچاوان,«نێوچاوان»[NOUN]«ی»{Clitic=Izafe},نێوچاوانی وێک هات، لووتی هەڵقرچاند و دوو ڕیز فرمێسک بە چاویدا هاتە خوارێ.
C,هابرماس,هابرماس,«هابرماس»[PROPN]{NE=Person},وەرچەرخانە وەزیفییەکان لە بواری سیاسیدا ڕامانێک سەبارەت بە هابرماس
C,هۆندەرێنەی,هۆندەرێنە,«هۆندەرێنە»[PROPN]{NE=Location}«ی»{Clitic=Izafe},ئەنجومەنی ناوەندی یادی شەهیدانی گوندی هۆندەرێنەی بەرز نرخاند
B,ئاواز,ئاواز,«ئاواز»[PROPN]{NE=Person},نەبەز ئاواز و ڕاپۆرتێک تێپەڕینی دوو مانگ بەسەر پرۆسەی هەڵبژاردنەکانی هەرێمی کوردستانی عێراق و پێکنەهاتنی حکومەتی نوێ
B,دینا,دینا,«دینا»[PROPN]{NE=Person},یەکێک لە خەباتکارانی مافەکانی ژنانی میسری بەناوی دینا فەرید ڕادەگەیەنیت
B,کڵۆڵ,کڵۆڵ,«کڵۆڵ»[PROPN]{NE=Person},عومەر کڵۆڵ، سکرتێری کەرانی کوردستان
B,ماڵێ,ماڵ,«ماڵ»[NOUN]{Case=Acc},ڕاست بەر لە وەڕێکەوتنی ئانا گەیشتەوە ماڵێ.
B,هارمان,هارمان,«هارمان»[PROPN]{NE=Person},زەیدان هارمان هاوسەری پێشووی خۆی داوەتە بەر دەستدڕێژی گوللە
B,وی,ئەو,«ئەو»{Number=Sing}{Person=3}[PRON]{PronType=Prs}{Case=Acc},ڕۆژێک پاش قسەکانی بوش و تۆمەت لێدانی پڕوپوچی وی لەمەڕ ڕۆڵی ئێران لە عێراق هاتە ئاراوە
A,ئاخوند,ئاخوند,«ئاخوند»[NOUN]{Title},ئاخوند مەکارمی شیرازیش وتبووی نابێ لەگەڵ هەر کەس موخالیف بووین دژایەتی بکەین
A,ئاخۆ,ئاخۆ,«ئاخۆ»[SCONJ],لە ڕۆژانی داهاتوو ئاشکرا دەبێت ئاخۆ قۆناخەکە چۆن بەڕێوە دەچێت.
A,ئاداب,ئاداب,«ئاداب»[NOUN],هەندێک لە ئاداب و ئەحکامی جەژن
A,ئاراوە,ئارا,«ئارا»[NOUN]«ەوە»{Clitic=Ewe}{AdpType=Circ},گەلێ بابەتی بەنرخی هێنایە ئاراوە
A,ئازادییەکانیان,ئازادی,«ئازادی»[NOUN]«ەکە»{Definite=Def}«ان»{Number=Plur}«یان»{Person[psor]=3}{Number[psor]=Plur},لەسەر ئەساسی خەباتی ئازادیخوازانەی گەلانی ئێران بۆ وەدەست هێنانی ماف و ئازادییەکانیان و گەلی کوردیش یەکێکە لەو گەلانە.
A,ئاسانە,ئاسان,«ئاسان»[ADJ]«ە»{Copula}{Person=3}{Number=Sing},زێرەڤانی ئەرکی ئاسانە
A,ئاسایییە,ئاسایی,«ئاسایی»[ADJ]«ە»{Copula}{Person=3}{Number=Sing},ڕووبەڕووبوونەوەی هەڵبژاردەی ئینگلتەرا کارێکی ئاسایییە.
A,ئاستێکی,ئاست,«ئاست»[NOUN]«ێک»{Definite=Ind}«ی»{Clitic=Izafe},بە تایبەتی یاریزانانی یانەی هەولێر توانیان ئاستێکی بەرز پێشکەش بکەن
A,ئاسمانی,ئاسمان,«ئاسمان»[NOUN]«ی»{Person=3}{Number=Sing},ئاسمانی هەموو داپۆشیوە،
A,ئاسەواری,ئاسەوار,«ئاسەوار»[NOUN]«ی»{Clitic=Izafe},7 هەزار ئاسەواری مێژوویی کرماشان لە چاوەڕوانی پیشاندەرانیان لە مۆزەخانەی ڕۆژئاوادان
A,ئاشتیی,ئاشتی,«ئاشتی»[NOUN]«ی»{Clitic=Izafe},کاندیدا کردنی کەبوودوەند بۆ خەڵاتی ئاشتیی 2013 ی مارتین ئینالس
A,ئاشکرای,ئاشکرا,«ئاشکرا»[ADJ]«ی»{Person=3}{Number=Sing},دوای ئەوەی ڕاهێنەری لیڤەرپوول ئاشکرای کرد
A,ئاغا,ئاغا,«ئاغا»[NOUN]{Title},چیرۆکی فێڵ ئاغا و دۆڕاو بەگ - بەشی دووەم
A,ئافرەتە,ئافرەت,«ئافرەت»[NOUN]«ە»{Clitic=Izafe},ئافرەتە دەرکراوەکە: براکانم بە تەلەفۆن هەڕەشەی کوشتنم دەکەن
A,ئاکۆ,ئاکۆ,«ئاکۆ»[PROPN]{NE=Person},ئاکۆ محەمەد سابیر
A,ئاگاداربوونی,ئاگاداربوون,«ئاگادار»[NOUN]{Masdar}{Compound}«بوو»«ن»«ی»{Clitic=Izafe},دوای ئاگاداربوونی لە دەستبەسەرکرانی کوڕەکانی خان و لەنێوبردنی پاسەوانەکانیان
A,ئاگادارت,ئاگادار,«ئاگادار»[ADJ]«ت»{Person=2}{Number=Sing},ئایفۆن لە کاتی بوونی ئاگر و دووکەڵدا ئاگادارت دەکاتەوە
A,ئاگاداری,ئاگادار,«ئاگادار»[ADJ]«ی»{Clitic=Izafe},ئەمریکا بۆ هاووڵاتییانی لە ئوسترالیا: ئاگاداری خۆتان بن
A,ئاگای,ئاگا,«ئاگا»[NOUN]«ی»{Clitic=Izafe},بەتەواوی ئاگای لە هێڵی سووری نیزامی کۆماری ئیسلامیی ئێرانە
A,ئاگری,ئاگر,«ئاگر»[NOUN]«ی»{Clitic=Izafe},نەبادا ئاگری جگەرەکە لەنێو تاریکایی ئەنگوستەچاودا بلێسە بدات و شوێنەکەم ئاشکرا ببێت.
A,ئامادەم,ئامادە,«ئامادە»[ADJ]«م»{Copula}{Person=1}{Number=Sing},کاک مستەفا دەڵێت ئامادەم بۆ دیالۆگ و قسە کردن
A,ئاماری,ئامار,«ئامار»[NOUN]«ی»{Clitic=Izafe},لە ناوەندی ئاماری ئاژانسی هەواڵدەریی کوردپا
A,ئاماژە,ئاماژە,«ئاماژە»[NOUN],ئاماژە بەوە دەکات
A,ئاماژەم,ئاماژە,«ئاماژە»[NOUN]«م»{Person=1}{Number=Sing},وەک ئاماژەم پێدا
